filename,DISORDER,core_All_Metals,core_Open_Metal_Sites,temperature_Celsius,time_h,Yield_Percent,metal_ele1,metal_os1,counterions1,metal_ele2,metal_os2,counterions2,metal_ele3,metal_os3,counterions3,metal_ele4,metal_os4,counterions4,metal_ele5,metal_os5,counterions5,solvent1,sol_molratio1,solvent2,sol_molratio2,solvent3,sol_molratio3,solvent4,sol_molratio4,solvent5,sol_molratio5,additive1,additive2,additive3,additive4,additive5,other1,other2,other3,other4,other5,other6,other7,other8
OFODET_clean,,Mn,Mn,55,48,73,Mn,2.0,Cl,,,,,,,,,,,,,6228,0.532,174.0,0.184,962.0,0.284,,,,,313.0,,,,,,,,,,,,
XAVKIR_clean,,Cu,Cu,55,120,∼50.6,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.539,962.0,0.461,,,,,,,313.0,,,,,,,,,,,,
LATPIG_clean,,Zn, ,160,72,68,Zn,2.0,F,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
MOYYIJ_clean,,Cu,Cu,60,48,80,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.556,962.0,0.339,702.0,0.105,,,,,,,,,,,,,,,,,
OFOCUI_clean,,Cu,Cu,60,48,61,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.377,702.0,0.3,962.0,0.323,,,,,944.0,,,,,,,,,,,,
ALATAK_clean,,Ca,Ca,60,72,,Ca,2.0,CO3,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
RUFZID_clean,,Cu,Cu,60,72,,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.139,887.0,0.265,962.0,0.596,,,,,,,,,,,,,,,,,
OPENUT_clean,,Eu,Eu,60,96,42,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,,,,,,,,,,,,,
INOVEN_clean,,Gd,Gd,60,168,45,Gd,3.0,NO3,,,,,,,,,,,,,702,0.515,6228.0,0.485,,,,,,,,,,,,,,,,,,,
YEMJAC_clean,,Dy, ,60,168,76,Dy,3.0,NO3,,,,,,,,,,,,,6228,0.79,702.0,0.21,,,,,,,944.0,8148.0,,,,,,,,,,,
QUQFIS_clean,,Zn,Zn,65,24,59.2,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.462,887.0,0.439,962.0,0.099,,,,,,,,,,,,,,,,,
QUQFOY_clean,,Cd,Cd,65,24,57.2,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.601,702.0,0.399,,,,,,,,,,,,,,,,,,,
YUGLES_clean,,Cu,Cu,65,24,,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.479,679.0,0.521,,,,,,,944.0,,,,,,,,,,,,
EBUREA_clean,,Mn,Mn,65,48,20,Mn,2.0,Cl,,,,,,,,,,,,,962,1.0,,,,,,,,,14798.0,,,,,,,,,,,,
LIKGUJ_clean,,Cu,Cu,65,48,75,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,313.0,,,,,,,,,,,,
QOZPEC_clean,DISORDER,Cd,Cd,65,48,50,Cd,2.0,Cl,,,,,,,,,,,,,6228,0.618,962.0,0.264,887.0,0.117,,,,,28118.0,,,,,,,,,,,,
QOZPIG_clean,,Cd, ,65,48,39,Cd,2.0,Cl,,,,,,,,,,,,,6228,1.0,,,,,,,,,28118.0,,,,,,,,,,,,
GERWEH_clean,,"Cu,Si",Cu,70,72,30,Cu,2.0,NO3,Si,-1.0,,,,,,,,,,,962,0.895,6228.0,0.105,,,,,,,,,,,,,,,,,,,
PUWDAM_clean,,Zn, ,70,72,63,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.174,702.0,0.231,962.0,0.595,,,,,,,,,,,,,,,,,
RUGZAW_clean,,Zn,Zn,70,72,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.349,702.0,0.154,962.0,0.497,,,,,,,,,,,,,,,,,
YAVWUQ_clean,,Cu,Cu,70,96,,Cu,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,313.0,,,,,,,,,,,,
LELROL_clean,,Mn,Mn,70,192,,Mn,2.0,Cl,,,,,,,,,,,,,6228,0.345,887.0,0.655,,,,,,,,,,,,,,,,,,,
XUGROI_clean,,Cu,Cu,75,24,42,Cu,2.0,NO3,,,,,,,,,,,,,12051,0.379,962.0,0.621,,,,,,,313.0,,,,,,,,,,,,
YAFJEX_clean,DISORDER,Cu,Cu,75,24,,Cu,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,28118.0,,,,,,,,,,,,
ZIKJOU_clean,,Cu,Cu,75,60,42,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.345,887.0,0.655,,,,,,,28118.0,,,,,,,,,,,,
ZIKJIO_clean,,Cu,Cu,75,36,39,Cu,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,28118.0,,,,,,,,,,,,
DOZCEC_clean,,Mn,Mn,75,48,51,Mn,3.0,Cl,,,,,,,,,,,,,12051,0.268,887.0,0.732,,,,,,,313.0,,,,,,,,,,,,
ECIWIW_clean,,Cd,Cd,130,48,53,Cd,2.0,ClO4,,,,,,,,,,,,,702,1.0,,,,,,,,,,,,,,,,,,,,,
HOZTOG_clean,,"W,Cu", ,75,48,32,W,6.0,unknown,Cu,1.0,unknown,,,,,,,,,,6342,0.748,6228.0,0.252,,,,,,,,,,,,,,,,,,,
LUCKAX_clean,DISORDER,Cd,Cd,75,48,60,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.193,702.0,0.256,962.0,0.551,,,,,,,,,,,,,,,,,
CAYQUQ_clean,DISORDER,Cu,Cu,80,18,,Cu,2.0,ClO4,,,,,,,,,,,,,6228,0.483,962.0,0.517,,,,,,,313.0,,,,,,,,,,,,
BAZFUF01_clean,,Cu,Cu,80,24,,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.43,702.0,0.57,,,,,,,243.0,1049.0,,,,,,,,,,,
HOZFIN_clean,DISORDER,Li,Li,80,24,,Li,1.0,OH,,,,,,,,,,,,,31275,0.533,8076.0,0.467,,,,,,,,,,,,,,,,,,,
REDROI_clean,,Zn, ,80,24,90,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,784.0,,,,,,,,,,,,
SUKYIH_clean,,Cu,Cu,80,24,,Cu,2.0,NO3,,,,,,,,,,,,,12051,0.328,962.0,0.672,,,,,,,313.0,,,,,,,,,,,,
TANMIH_clean,,Co,Co,80,24,60,Co,2.0,OAc,,,,,,,,,,,,,12051,0.14,962.0,0.86,,,,,,,,,,,,,,,,,,,
WOGHEG_clean,,Zn,Zn,80,24,60,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
ZEBMAW_clean,,"Si,Ce",Ce,80,24,25-30,Si,-1.0,,Ce,3.0,NO3,,,,,,,,,,6228,0.419,962.0,0.581,,,,,,,,,,,,,,,,,,,
ZEBMEA_clean,DISORDER,"Eu,Si",Eu,80,24,75-80,Eu,3.0,NO3,Si,-1.0,,,,,,,,,,,6228,0.196,702.0,0.26,962.0,0.544,,,,,,,,,,,,,,,,,
ADASAB_charged,,Cu,Cu,80,40,,,,,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
APAZOI_clean,,La,La,80,48,39,La,3.0,NO3,,,,,,,,,,,,,6228,0.403,887.0,0.382,962.0,0.215,,,,,,,,,,,,,,,,,
BOSHIC_clean,DISORDER,Cu,Cu,80,48,65,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.343,6342.0,0.169,962.0,0.488,,,,,313.0,,,,,,,,,,,,
CAYQIE_clean,DISORDER,Cu,Cu,80,48,,Cu,2.0,ClO4,,,,,,,,,,,,,12051,0.661,962.0,0.339,,,,,,,313.0,,,,,,,,,,,,
DIVSUY_clean,,Eu,Eu,80,48,57,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.193,702.0,0.256,962.0,0.551,,,,,,,,,,,,,,,,,
GABYUG_clean,DISORDER,Cd, ,80,48,,Cd,2.0,Cl,,,,,,,,,,,,,6228,0.345,887.0,0.655,,,,,,,313.0,,,,,,,,,,,,
GAXKOH_clean,,"Cd,K",Cd,80,48,60,Cd,2.0,NO3,K,1.0,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,14797.0,,,,,,,,,,,
IFUPAC_clean,DISORDER,Eu,Eu,80,48,,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.196,962.0,0.544,702.0,0.26,,,,,,,,,,,,,,,,,
IYOQAQ_clean,,Zn,Zn,80,48,70,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.19,962.0,0.81,,,,,,,,,,,,,,,,,,,
OQETEK_clean,,Yb,Yb,80,48,,Yb,3.0,NO3,,,,,,,,,,,,,6228,0.196,962.0,0.544,702.0,0.26,,,,,,,,,,,,,,,,,
QEBKUF_SL,,Zn, ,80,48,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.412,962.0,0.588,,,,,,,313.0,,,,,,,,,,,,
TEMPAE_clean,,Zn, ,80,48,64,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
TORPUN_clean,,Tb, ,80,48,,Tb,3.0,NO3,,,,,,,,,,,,,6228,0.196,962.0,0.544,702.0,0.26,,,,,,,,,,,,,,,,,
ZUDQUM_clean,,Mn, ,80,48,,Mn,2.0,CH3COO,,,,,,,,,,,,,6228,0.26,962.0,0.74,,,,,,,,,,,,,,,,,,,
AQIXUV_clean,,Ni,Ni,80,72,48,Ni,2.0,NO3,,,,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,,,,,,,,,,,,,
BUSRUE_clean,,Cd, ,80,72,88,Cd,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
CUYQIX_clean,,Zn,Zn,80,72,39,Zn,2.0,SO4,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
EJOQOL_clean,,"Cu,K","Cu,K",80,72,55,Cu,2.0,Cl,K,1.0,,,,,,,,,,,6228,0.072,962.0,0.928,,,,,,,,,,,,,,,,,,,
GOVWOF_clean,,Mn,Mn,80,72,45,Mn,2.0,Cl,,,,,,,,,,,,,12051,1.0,,,,,,,,,,,,,,,,,,,,,
HAJDII_clean,,Tb, ,80,72,,Tb,3.0,NO3,,,,,,,,,,,,,6228,0.19,962.0,0.81,,,,,,,,,,,,,,,,,,,
HOVQAM_clean,,Co, ,80,72,33,Co,2.0,ClO4,,,,,,,,,,,,,962,1.0,,,,,,,,,14798.0,,,,,,,,,,,,
HUCFAO_clean,,Mn, ,80,72,36,Mn,2.0,OAc,,,,,,,,,,,,,962,0.61,31374.0,0.119,887.0,0.271,,,,,,,,,,,,,,,,,
ILAGUY_charged,,Cd, ,80,72,67,Cd,2.0,ClO4,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
IVARUT_clean,,Cd, ,80,72,36,Cd,2.0,Cl,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
KEWBUL_clean,,Eu,Eu,80,72,72,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.419,702.0,0.222,962.0,0.358,,,,,,,,,,,,,,,,,
LAWHOJ_clean,,Cd,Cd,80,72,72,Cd,2.0,Cl,,,,,,,,,,,,,6228,0.054,962.0,0.931,702.0,0.014,,,,,,,,,,,,,,,,,
LIDSIC_clean,DISORDER,Co,Co,80,72,,Co,2.0,NO3,,,,,,,,,,,,,6228,0.193,702.0,0.256,962.0,0.551,,,,,,,,,,,,,,,,,
MATPOP_clean,,"Tb,Zn","Tb,Zn",80,72,50,Tb,3.0,ClO4,Zn,2.0,Cl,,,,,,,,,,962,0.562,31374.0,0.438,,,,,,,,,,,,,,,,,,,
MATPUV_clean,,"Tb,Co","Tb,Co",80,72,50,Tb,3.0,ClO4,Co,2.0,Cl,,,,,,,,,,962,0.562,31374.0,0.438,,,,,,,,,,,,,,,,,,,
MOTVOI_clean,,Eu,Eu,80,72,74,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.373,702.0,0.198,6342.0,0.111,962.0,0.319,,,,,,,,,,,,,,,
NAHHOW_clean,DISORDER,Cu,Cu,80,72,56,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.581,6342.0,0.287,962.0,0.132,,,,,313.0,,,,,,,,,,,,
SUKKUG_clean,DISORDER,Cu,Cu,80,72,53,Cu,2.0,Cl,,,,,,,,,,,,,6228,0.581,6342.0,0.287,962.0,0.132,,,,,313.0,,,,,,,,,,,,
USORUR_clean,,Zn,Zn,80,72,82,Zn,2.0,NO3,,,,,,,,,,,,,12051,0.494,962.0,0.506,,,,,,,,,,,,,,,,,,,
VEZWEE_clean,,Mn,Mn,80,72,20,Mn,2.0,ClO4,,,,,,,,,,,,,887,0.471,962.0,0.529,,,,,,,,,,,,,,,,,,,
VOGPEO_clean,,Cu,Cu,80,72,,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.678,962.0,0.322,,,,,,,944.0,,,,,,,,,,,,
VOQXIK_clean,DISORDER,Li,Li,80,72,,Li,1.0,OH,,,,,,,,,,,,,702,0.355,13387.0,0.645,,,,,,,,,,,,,,,,,,,
ZUDQEW_clean,,Cd,Cd,80,72,,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.26,962.0,0.74,,,,,,,,,,,,,,,,,,,
ZUDRAT_clean,,Mn,Mn,80,72,,Mn,2.0,CH3COO,,,,,,,,,,,,,6228,0.26,962.0,0.74,,,,,,,,,,,,,,,,,,,
NAWDUN_clean,,Cu,Cu,80,96,70,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.349,702.0,0.154,962.0,0.497,,,,,313.0,,,,,,,,,,,,
DIMQIB_clean,DISORDER,Co,Co,80,120,,Co,2.0,NO3,,,,,,,,,,,,,6228,0.669,6342.0,0.331,,,,,,,,,,,,,,,,,,,
AVAQIX_clean,,Cd,Cd,80,504,43,Cd,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
ADASOP_clean,,Zn,Zn,85,12,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.555,13387.0,0.445,,,,,,,,,,,,,,,,,,,
ADATIK_clean,,Cu,Cu,85,12,,Cu,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
RIDCEN_charged,,In, ,85,12,72,In,3.0,NO3,,,,,,,,,,,,,6228,0.574,6342.0,0.426,,,,,,,944.0,,,,,,,,,,,,
RUVKAV_clean,,Cu,Cu,85,12,64,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.263,702.0,0.174,962.0,0.562,,,,,944.0,,,,,,,,,,,,
ZOGBAA_clean,DISORDER,In, ,85,12,,In,3.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,,,,,,,,,,,,
WIJXIY_clean,,Zn,Zn,85,16,,Zn,2.0,NO3,,,,,,,,,,,,,12051,1.0,,,,,,,,,,,,,,,,,,,,,
EYACOX_clean,,Eu,Eu,85,17,,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.678,887.0,0.322,,,,,,,944.0,,,,,,,,,,,,
AROFAP_clean,,Cd,Cd,85,24,81,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,,,,,,,,,,,,,
DOZKIO_clean,,Eu,Eu,85,24,80,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.626,962.0,0.374,,,,,,,944.0,,,,,,,,,,,,
EXAXAE_clean,,Cu,Cu,85,24,,Cu,1.0,I,,,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,,,,,,,,,,,,
OVEDAW_clean,DISORDER,Cu,Cu,85,24,,Cu,1.0,I,,,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,,,,,,,,,,,,
QIPROY_clean,,Cu,Cu,85,24,75,Cu,2.0,OAc,,,,,,,,,,,,,962,0.742,6342.0,0.258,,,,,,,,,,,,,,,,,,,
YUMFUJ_clean,,La,La,85,24,,La,3.0,NO3,,,,,,,,,,,,,679,0.277,962.0,0.723,,,,,,,,,,,,,,,,,,,
ADARAA_clean,,Co,Co,85,48,70,Co,2.0,NO3,,,,,,,,,,,,,6228,0.248,702.0,0.329,962.0,0.424,,,,,,,,,,,,,,,,,
BAZFUF_clean,,Cu,Cu,85,48,33,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.532,13387.0,0.427,1049.0,0.041,,,,,,,,,,,,,,,,,
BAZGAM_clean,,Cu,Cu,85,48,77,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.532,13387.0,0.427,1049.0,0.041,,,,,,,,,,,,,,,,,
BAZGEQ_clean,,Cu,Cu,85,48,26,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.555,13387.0,0.445,,,,,,,,,,,,,,,,,,,
CEJBEA_clean,,Dy, ,85,48,,Dy,3.0,NO3,,,,,,,,,,,,,6228,0.393,962.0,0.503,702.0,0.104,,,,,,,,,,,,,,,,,
FAGQAI_clean,,Cu,Cu,85,48,5-10,Cu,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
FIHHUB_SL,DISORDER,Cd, ,85,48,15,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.751,702.0,0.249,,,,,,,944.0,,,,,,,,,,,,
KUHNEI_clean,,Co,Co,85,48,31,Co,2.0,NO3,,,,,,,,,,,,,31374,0.226,962.0,0.774,,,,,,,,,,,,,,,,,,,
UMAROR_clean,,Ag,Ag,85,48,36,Ag,1.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
WISVEB_clean,,Cd,Cd,85,48,,Cd,2.0,NO3,,,,,,,,,,,,,962,0.562,31374.0,0.438,,,,,,,944.0,,,,,,,,,,,,
AROFET_clean,,Cd,Cd,85,72,52,Cd,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
ECOLEP_clean,,Co,Co,85,72,40.2,Co,2.0,Ac,,,,,,,,,,,,,31374,0.305,887.0,0.695,,,,,,,,,,,,,,,,,,,
FIPKOG01_clean,,Cd, ,85,72,,Cd,2.0,Cl,,,,,,,,,,,,,6228,0.384,962.0,0.616,,,,,,,944.0,,,,,,,,,,,,
NAJQUN_clean,,Mn,Mn,85,72,40,Mn,2.0,OAc,,,,,,,,,,,,,6228,0.072,962.0,0.928,,,,,,,,,,,,,,,,,,,
NATFAS_clean,,Zn, ,85,72,40,Zn,2.0,OAc,,,,,,,,,,,,,962,0.479,6228.0,0.224,702.0,0.297,,,,,,,,,,,,,,,,,
VIXTUT_clean,,Zn,Zn,85,72,23,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
WIPLOY_clean,,Eu,Eu,85,72,47,Eu,3.0,SO4,,,,,,,,,,,,,6228,0.072,962.0,0.928,,,,,,,,,,,,,,,,,,,
WOPHIU01_clean,,Zn,Zn,85,72,40.1,Zn,2.0,NO3,,,,,,,,,,,,,962,0.895,6228.0,0.105,,,,,,,,,,,,,,,,,,,
WOPHIU_clean,,Zn,Zn,85,72,49.0,Zn,2.0,NO3,,,,,,,,,,,,,962,0.955,6228.0,0.045,,,,,,,,,,,,,,,,,,,
YICGOI_clean,,Co,Co,85,72,56,Co,2.0,NO3,,,,,,,,,,,,,6228,0.06,6342.0,0.177,962.0,0.764,,,,,,,,,,,,,,,,,
KIKFIV_clean,,Eu,Eu,85,96,36,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,944.0,,,,,,,,,,,,
OYIVEY_clean,,Cu,Cu,85,96,54,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.531,702.0,0.469,,,,,,,,,,,,,,,,,,,
USOXEH_clean,,"Cu,Zn",Cu,85,96,65,Cu,2.0,NO3|I,Zn,2.0,OAc,,,,,,,,,,6228,0.245,962.0,0.523,887.0,0.232,,,,,176.0,,,,,,,,,,,,
MURBEI_clean,,In, ,85,120,,In,3.0,NO3,,,,,,,,,,,,,12051,1.0,,,,,,,,,944.0,,,,,,,,,,,,
KUNMUD_clean,,Cd, ,90,72,63,Cd,2.0,BF4,,,,,,,,,,,,,887,0.4,962.0,0.6,,,,,,,,,,,,,,,,,,,
UKOLOV_clean,DISORDER,Zn, ,90,20,55,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.417,702.0,0.138,962.0,0.445,,,,,,,,,,,,,,,,,
BINROH_clean,,Cu,Cu,90,24,71,Cu,2.0,NO3,,,,,,,,,,,,,12051,0.619,962.0,0.381,,,,,,,313.0,,,,,,,,,,,,
DINNIZ_clean,,Mn,Mn,90,24,30,Mn,2.0,Cl,,,,,,,,,,,,,6228,0.43,702.0,0.57,,,,,,,,,,,,,,,,,,,
FECYIX_clean,,Co,Co,90,24,10.5,Co,2.0,Cl,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
FIGQUJ_clean,,Cu, ,90,24,39,Cu,2.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
IZEFEZ_charged,,Cd, ,90,24,62,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.43,702.0,0.57,,,,,,,24247.0,,,,,,,,,,,,
PUWDOA_clean,,Zn,Zn,90,24,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.267,702.0,0.354,962.0,0.38,,,,,,,,,,,,,,,,,
UWUTIQ_clean,,Zn, ,90,24,82,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
UXUYUI_clean,,Li,Li,120,24,,Li,1.0,tert-BuO,,,,,,,,,,,,,887,1.0,,,,,,,,,,,,,,,,,,,,,
VIDJID_clean,DISORDER,Co,Co,90,24,18,Co,2.0,NO3,,,,,,,,,,,,,6228,0.655,702.0,0.261,962.0,0.084,,,,,,,,,,,,,,,,,
HISGIB_clean,,Cs,Cs,90,48,38.17,Cs,1.0,Cl,,,,,,,,,,,,,6228,0.503,702.0,0.19,962.0,0.307,,,,,,,,,,,,,,,,,
OMUSAS_clean,,Zn,Zn,90,48,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.946,887.0,0.054,,,,,,,,,,,,,,,,,,,
ROTQIC_clean,,Zn,Zn,90,48,70,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.43,702.0,0.57,,,,,,,,,,,,,,,,,,,
SUKMAO_clean,DISORDER,Cu,Cu,90,48,60,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.537,887.0,0.34,962.0,0.122,,,,,313.0,,,,,,,,,,,,
TAPHOJ_clean,,Zn, ,90,48,46,Zn,2.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,14798.0,,,,,,,,,,,,
