filename,DISORDER,core_All_Metals,core_Open_Metal_Sites,temperature_Celsius,time_h,Yield_Percent,metal_ele1,metal_os1,counterions1,metal_ele2,metal_os2,counterions2,metal_ele3,metal_os3,counterions3,metal_ele4,metal_os4,counterions4,metal_ele5,metal_os5,counterions5,solvent1,sol_molratio1,solvent2,sol_molratio2,solvent3,sol_molratio3,solvent4,sol_molratio4,solvent5,sol_molratio5,additive1,additive2,additive3,additive4,additive5,other1,other2,other3,other4,other5,other6,other7,other8
TOHMIO_clean,DISORDER,Eu,Eu,90,48,54,Eu,3.0,Cl,,,,,,,,,,,,,6228,0.821,679.0,0.179,,,,,,,,,,,,,,,,,,,
XOTSEG_clean,,Mn,Mn,90,48,50,Mn,2.0,Cl,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
QOJKAB_clean,,Zn, ,90,68,26,Zn,2.0,O,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
AVESOL_clean,,Zn,Zn,90,72,65,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.539,962.0,0.461,,,,,,,313.0,,,,,,,,,,,,
AVETAY_clean,DISORDER,Zn,Zn,90,72,70,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.539,962.0,0.461,,,,,,,313.0,,,,,,,,,,,,
AVETEC_clean,,Cd, ,90,72,58,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.539,962.0,0.461,,,,,,,313.0,,,,,,,,,,,,
BUCWAZ_clean,,Cd,Cd,90,72,69,Cd,2.0,NO3,,,,,,,,,,,,,31374,0.226,962.0,0.774,,,,,,,,,,,,,,,,,,,
GALCAZ_clean,,Zn,Zn,90,72,43,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.601,702.0,0.399,,,,,,,8471.0,,,,,,,,,,,,
LASWIN_clean,,Co,Co,90,72,47,Co,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
OKIPOO_clean,,Co,Co,90,72,66,Co,2.0,NO3,,,,,,,,,,,,,6228,0.412,962.0,0.588,,,,,,,,,,,,,,,,,,,
OKIPUU_clean,,Cd, ,90,72,76,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.412,962.0,0.588,,,,,,,,,,,,,,,,,,,
REYPES_clean,,Zn,Zn,90,72,32,Zn,2.0,OAc,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
VAXVEX_charged,,Cd, ,90,72,,Cd,2.0,ClO4,,,,,,,,,,,,,962,0.871,887.0,0.129,,,,,,,,,,,,,,,,,,,
WUSLED_clean,,U,U,90,72,48.5,U,4.0,NO3|O,,,,,,,,,,,,,6228,0.26,962.0,0.74,,,,,,,,,,,,,,,,,,,
XOLGEM_clean,,"Li,Co", ,90,72,40,Li,1.0,,Co,2.0,OAc,,,,,,,,,,962,0.81,6228.0,0.19,,,,,,,222.0,8471.0,,,,,,,,,,,
OWUWUA_clean,,"Na,Fe,Zn","Na,Zn",90,96,23,Na,1.0,Cl,Fe,3.0,Cl,Zn,2.0,Cl,,,,,,,6228,0.319,962.0,0.681,,,,,,,,,,,,,,,,,,,
IKUTIT_clean,,Dy,Dy,95,24,31,Dy,3.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
IKUTOZ_clean,,Dy,Dy,95,24,45,Dy,3.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
IKUTUF_clean,,Dy,Dy,95,24,29,Dy,3.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
YOZQAG_charged,,Zn,Zn,95,24,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.94,962.0,0.06,,,,,,,,,,,,,,,,,,,
YOZQEK_clean,,Zn,Zn,95,24,,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
ACAKUM_clean,,La,La,95,72,,La,3.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
ACALIB_clean,,Er,Er,95,72,,Er,3.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
AJAMEF_clean,,Co,Co,95,72,67,Co,2.0,NO3,,,,,,,,,,,,,31374,0.087,6342.0,0.466,962.0,0.447,,,,,,,,,,,,,,,,,
HEDTER_clean,,Ni,Ni,95,72,52,Ni,2.0,NO3,,,,,,,,,,,,,6228,0.091,6342.0,0.134,962.0,0.775,,,,,,,,,,,,,,,,,
MICDEJ_clean,,Mn,Mn,95,72,66,Mn,2.0,NO3,,,,,,,,,,,,,6228,0.412,962.0,0.588,,,,,,,,,,,,,,,,,,,
SARNOQ_clean,,Zn, ,95,72,,Zn,2.0,NO3,,,,,,,,,,,,,31374,1.0,,,,,,,,,,,,,,,,,,,,,
ZIDVAL_clean,,Mn,Mn,95,72,,Mn,2.0,Cl,,,,,,,,,,,,,962,0.588,6228.0,0.412,,,,,,,,,,,,,,,,,,,
ZOFZUR_clean,,Mn,Mn,95,72,,Mn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,,,,,,,,,,,,
BOWZUK_clean,,Zn,Zn,100,12,64,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.327,887.0,0.207,962.0,0.466,,,,,,,,,,,,,,,,,
ANUGIA_clean,,Cu,Cu,85,12,82,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.436,31275.0,0.099,962.0,0.465,,,,,313.0,,,,,,,,,,,,
ANUGOG_clean,,Cu,Cu,85,24,55,Cu,2.0,NO3,,,,,,,,,,,,,13387,0.382,31275.0,0.108,962.0,0.509,,,,,,,,,,,,,,,,,
LENKIA_clean,,Cu,Cu,100,18,,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.824,962.0,0.176,,,,,,,,,,,,,,,,,,,
VALVAI_clean,,Yb,Yb,100,20,,Yb,3.0,Cl,,,,,,,,,,,,,6228,0.886,962.0,0.114,,,,,,,,,,,,,,,,,,,
COJGEO_clean,,"Cu,Zn","Cu,Zn",100,24,,Cu,2.0,NO3|PyenH2,Zn,2.0,NO3,,,,,,,,,,6228,0.701,962.0,0.299,,,,,,,,,,,,,,,,,,,
DUPJAB_clean,,Cd,Cd,100,24,,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.539,962.0,0.461,,,,,,,,,,,,,,,,,,,
EKEKIQ_clean,DISORDER,Zn, ,100,24,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.584,962.0,0.416,,,,,,,,,,,,,,,,,,,
EKEKOW_clean,DISORDER,Zn,Zn,100,24,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.366,702.0,0.243,962.0,0.391,,,,,,,,,,,,,,,,,
EXOTUH_SL,,Cd, ,100,24,,Cd,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
GUSJOU_clean,,"Mn,Ge",Mn,100,24,43,Mn,2.0,Cl,Ge,-1.0,,,,,,,,,,,6228,0.441,887.0,0.559,,,,,,,,,,,,,,,,,,,
QAMHAQ_clean,DISORDER,Zn, ,100,24,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.584,962.0,0.416,,,,,,,,,,,,,,,,,,,
TILHAZ_clean,,Co,Co,100,24,50,Co,2.0,Cl,,,,,,,,,,,,,702,0.399,6228.0,0.601,,,,,,,,,,,,,,,,,,,
YODRAM_clean,,Co,Co,100,24,88,Co,2.0,NO3,,,,,,,,,,,,,6228,0.601,702.0,0.399,,,,,,,,,,,,,,,,,,,
GOBSUM_clean,,Co,Co,100,36,,Co,2.0,NO3,,,,,,,,,,,,,6228,0.574,6342.0,0.426,,,,,,,,,,,,,,,,,,,
AJAKON_clean,,Cd,Cd,100,40,67.8,Cd,2.0,NO3,,,,,,,,,,,,,31374,0.229,702.0,0.183,962.0,0.588,,,,,28118.0,,,,,,,,,,,,
DAMZEZ_clean,,Cd, ,100,48,65,Cd,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,,,,,,,,,,,,
EXEMUR_clean,,Cd, ,100,48,60,Cd,2.0,Cl,,,,,,,,,,,,,6228,0.362,31275.0,0.329,962.0,0.309,,,,,,,,,,,,,,,,,
GETXAG_clean,,Co,Co,100,48,63,Co,2.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,14798.0,,,,,,,,,,,,
HIHGAI_clean,,"Eu,Si",Eu,100,48,34,Eu,3.0,NO3,Si,-1.0,,,,,,,,,,,6228,1.0,,,,,,,,,313.0,,,,,,,,,,,,
LAZJIH_clean,,Zn, ,100,48,78,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.105,962.0,0.895,,,,,,,,,,,,,,,,,,,
PASNAA01_clean,,Co,Co,100,48,,Co,2.0,Cl,,,,,,,,,,,,,962,1.0,,,,,,,,,14798.0,,,,,,,,,,,,
PENYOX_clean,DISORDER,V,V,100,48,75,V,3.0,SO4|O,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
PEQTUB_clean,DISORDER,Bi,Bi,100,48,12,Bi,3.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,8471.0,,,,,,,,,,,,
PUWCIT_clean,DISORDER,Zn,Zn,100,48,57,Zn,2.0,Cl,,,,,,,,,,,,,6228,0.193,702.0,0.256,962.0,0.551,,,,,,,,,,,,,,,,,
PUZTOV_clean,,"Ca,Cd",Cd,100,48,,Ca,2.0,NO3,Cd,2.0,NO3,,,,,,,,,,962,0.81,6228.0,0.19,,,,,,,,,,,,,,,,,,,
QUFKIN_clean,,Co,Co,100,48,25,Co,2.0,CO3,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
SODQOT_clean,,Cu,Cu,100,48,,Cu,2.0,NO3,,,,,,,,,,,,,31374,1.0,,,,,,,,,944.0,,,,,,,,,,,,
UWOWAF_clean,,Mn,Mn,100,48,60,Mn,2.0,Cl,,,,,,,,,,,,,6228,0.398,702.0,0.602,,,,,,,,,,,,,,,,,,,
VOLPET_clean,,Zn,Zn,100,48,15,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.729,6342.0,0.271,,,,,,,,,,,,,,,,,,,
XOPLUL_clean,,Cd, ,100,48,,Cd,2.0,NO3,,,,,,,,,,,,,962,0.588,6228.0,0.412,,,,,,,,,,,,,,,,,,,
XUDVAV_clean,DISORDER,Co,Co,100,48,48,Co,2.0,O,,,,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,,,,,,,,,,,,,
DUJRAD_clean,,"Cu,Ba","Cu,Ba",100,60,,Cu,2.0,Cl,Ba,2.0,NO3,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
HIFGIO_SL,,Zn, ,100,60,∼56,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.601,702.0,0.399,,,,,,,14798.0,,,,,,,,,,,,
HUTTIA_clean,,Zn,Zn,100,60,,Zn,2.0,NO3,,,,,,,,,,,,,6228,,,,,,,,,,,,,,,,,,,,,,
ORUKOD_clean,,Ba,Ba,100,60,40,Ba,2.0,NO3,,,,,,,,,,,,,6228,0.263,702.0,0.174,962.0,0.562,,,,,313.0,,,,,,,,,,,,
AVESUR_clean,,Cd,Cd,100,72,69,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.539,962.0,0.461,,,,,,,313.0,,,,,,,,,,,,
BAFCAP_clean,,Zn,Zn,100,72,36,Zn,2.0,Cl,,,,,,,,,,,,,6228,0.19,962.0,0.81,,,,,,,,,,,,,,,,,,,
BURQIQ_clean,,"Cd,Na","Cd,Na",100,72,60,Cd,2.0,Cl,Na,1.0,,,,,,,,,,,6228,1.0,,,,,,,,,14798.0,,,,,,,,,,,,
CUKXAJ_clean,,Cd, ,100,72,,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.483,962.0,0.517,,,,,,,313.0,,,,,,,,,,,,
CUKXIR_clean,,Mn,Mn,100,72,,Mn,2.0,SO4,,,,,,,,,,,,,6228,0.483,962.0,0.517,,,,,,,313.0,,,,,,,,,,,,
ELOZIQ_clean,DISORDER,Cd,Cd,100,72,65,Cd,2.0,NO3,,,,,,,,,,,,,31374,0.539,887.0,0.461,,,,,,,,,,,,,,,,,,,
GAJVEU_charged,,Zn, ,100,72,,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,8471.0,,,,,,,,,,,,
GAJVIY_charged,,Zn,Zn,100,72,,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
HIHGEM_manual,,"Si,Er",Er,100,72,23,Si,-1.0,,Er,3.0,NO3,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
HOZFEJ_clean,,Li, ,100,72,,Li,1.0,OH,,,,,,,,,,,,,887,0.677,31275.0,0.323,,,,,,,,,,,,,,,,,,,
HUNFIH_clean,,"Ni,V","Ni,V",100,72,65,Ni,2.0,Cl,V,2.0,NH4|O,,,,,,,,,,962,1.0,,,,,,,,,944.0,,,,,,,,,,,,
HUNFON_clean,,"Zn,V","Zn,V",100,72,55,Zn,2.0,CH3COO,V,2.0,NH4|O,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
HUVNAP_clean,DISORDER,"Ba,Fe","Ba,Fe",100,72,31,Ba,2.0,Cl,Fe,3.0,Cl,,,,,,,,,,6228,0.067,702.0,0.357,962.0,0.576,,,,,,,,,,,,,,,,,
KITCAT_clean,,"Ag,K","Ag,K",100,72,40,Ag,1.0,CN,K,1.0,Ag(CN)2,,,,,,,,,,8028,1.0,,,,,,,,,,,,,,,,,,,,,
LAHTUM_clean,,Cd,Cd,100,72,∼45,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.601,702.0,0.399,,,,,,,,,,,,,,,,,,,
LAHVAU_clean,,Cd,Cd,100,72,∼40,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.601,702.0,0.399,,,,,,,,,,,,,,,,,,,
LOXBEH_clean,,Cd,Cd,100,72,42,Cd,2.0,CH3COO,,,,,,,,,,,,,6228,0.412,962.0,0.588,,,,,,,,,,,,,,,,,,,
NAYZUK_SL,,In, ,100,72,75,In,3.0,Cl,,,,,,,,,,,,,962,0.519,6342.0,0.481,,,,,,,14798.0,,,,,,,,,,,,
OHIHET_clean,,Zn, ,100,72,44,Zn,2.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,14798.0,,,,,,,,,,,,
OQUCOU_clean,,Cd,Cd,100,72,35,Cd,2.0,CH3COO,,,,,,,,,,,,,31374,0.369,962.0,0.631,,,,,,,,,,,,,,,,,,,
OWUWOU_clean,,"Cd,Fe",Cd,100,72,28,Cd,2.0,Cl,Fe,3.0,Cl,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,,,,,,,,,,,,,
QAGQEW_clean,,Cd,Cd,100,72,76,Cd,2.0,NO3,,,,,,,,,,,,,31374,1.0,,,,,,,,,28118.0,,,,,,,,,,,,
QIVZEC_clean,,Zn, ,100,72,,Zn,2.0,NO3,,,,,,,,,,,,,962,0.906,702.0,0.094,,,,,,,14798.0,,,,,,,,,,,,
SAMVIO_clean,DISORDER,Mn, ,100,72,,Mn,2.0,NO3,,,,,,,,,,,,,887,0.695,31374.0,0.305,,,,,,,176.0,,,,,,,,,,,,
SOBZEQ_clean,,"Ca,Cd",Ca,100,72,45,Ca,2.0,NO3,Cd,2.0,NO3,,,,,,,,,,31374,0.163,962.0,0.837,,,,,,,,,,,,,,,,,,,
VAGBEN_clean,,"Cu,Gd",Gd,100,72,,Cu,1.0,I,Gd,3.0,NO3,,,,,,,,,,6228,0.335,702.0,0.665,,,,,,,944.0,,,,,,,,,,,,
VAGBOX_clean,,"Cu,Gd","Cu,Gd",100,72,,Cu,1.0,I,Gd,3.0,NO3,,,,,,,,,,962,0.682,702.0,0.318,,,,,,,,,,,,,,,,,,,
WOPGOZ_clean,DISORDER,Co,Co,100,72,35.2,Co,2.0,NO3,,,,,,,,,,,,,962,0.985,6228.0,0.015,,,,,,,,,,,,,,,,,,,
XEYMAR_clean,,"Cu,Mn","Cu,Mn",100,72,15,Cu,1.0,I,Mn,2.0,CH3COO,,,,,,,,,,6228,0.601,702.0,0.399,,,,,,,,,,,,,,,,,,,
XICDUI_charged,,Cu, ,100,72,40,Cu,1.0,BF4|MeCN,,,,,,,,,,,,,241,0.731,6212.0,0.269,,,,,,,,,,,,,,,,,,,
XUGSID_clean,,Co,Co,100,72,,Co,2.0,NO3,,,,,,,,,,,,,6228,0.028,962.0,0.972,,,,,,,8471.0,,,,,,,,,,,,
XULVAD_clean,,"Gd,Mn",Mn,100,72,56.8,Gd,3.0,Cl,Mn,2.0,Ac,,,,,,,,,,962,0.004,3776.0,0.996,,,,,,,14798.0,,,,,,,,,,,,
VOXQOQ_clean,,Zn,Zn,100,80,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.531,702.0,0.469,,,,,,,,,,,,,,,,,,,
CABDER_clean,,Cd, ,100,96,55,Cd,2.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,14798.0,,,,,,,,,,,,
EGABAR_clean,DISORDER,Cd, ,100,96,∼50,Cd,2.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
VAGBUD_clean,,"Cu,Gd","Cu,Gd",100,96,,Cu,1.0,I,Gd,3.0,NO3,,,,,,,,,,962,0.758,31275.0,0.242,,,,,,,,,,,,,,,,,,,
IBUBAL_clean,,Cd,Cd,100,120,45,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,,,,,,,,,,,,,
KAKBUW_clean,,Ca,Ca,100,120,70,Ca,2.0,NO3,,,,,,,,,,,,,962,0.81,6228.0,0.19,,,,,,,,,,,,,,,,,,,
KAKCAD_clean,,Sr,Sr,100,120,75,Sr,2.0,NO3,,,,,,,,,,,,,962,0.81,6228.0,0.19,,,,,,,,,,,,,,,,,,,
KAKCEH_clean,,Ba,Ba,100,120,90,Ba,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
PARSAF_clean,DISORDER,"Ca,In","Ca,In",100,120,75,Ca,2.0,Cl,In,3.0,NO3,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
PARSEJ_clean,DISORDER,"Sr,In","Sr,In",100,120,82,Sr,2.0,Cl,In,3.0,NO3,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
TAGTIH_clean,,Mg,Mg,100,120,,Mg,2.0,NO3,,,,,,,,,,,,,31374,0.746,81646.0,0.254,,,,,,,8302.0,,,,,,,,,,,,
UMIGAA_clean,,"Zn,Co","Zn,Co",100,120,50,Zn,2.0,ClO4,Co,2.0,ClO4,,,,,,,,,,31374,1.0,,,,,,,,,,,,,,,,,,,,,
UYAMOY_clean,DISORDER,Cd,Cd,100,120,37,Cd,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
XASNUD_clean,,Zn,Zn,100,120,65,Zn,2.0,ClO4,,,,,,,,,,,,,31374,1.0,,,,,,,,,28118.0,,,,,,,,,,,,
XASPEP_clean,,Zn,Zn,100,120,,Zn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,28118.0,,,,,,,,,,,,
IBUBIT_clean,,Zn,Zn,100,144,53,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.281,962.0,0.719,,,,,,,,,,,,,,,,,,,
SAMVEK_clean,,Mn, ,100,144,,Mn,2.0,NO3,,,,,,,,,,,,,887,0.695,31374.0,0.305,,,,,,,176.0,,,,,,,,,,,,
UYAMIS_clean,DISORDER,Cd,Cd,100,144,45,Cd,2.0,NO3,,,,,,,,,,,,,6228,0.688,31275.0,0.312,,,,,,,,,,,,,,,,,,,
ZEZPAX01_clean,,Dy,Dy,100,144,,Dy,3.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
BINSAU_clean,,Mn,Mn,100,168,23,Mn,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
ORUKET_clean,,Mg,Mg,100,192,,Mg,2.0,NO3,,,,,,,,,,,,,31374,0.229,702.0,0.183,962.0,0.588,,,,,313.0,,,,,,,,,,,,
VEHROR_charged,,La, ,102,48,60,La,3.0,Cl,,,,,,,,,,,,,962,1.0,,,,,,,,,944.0,,,,,,,,,,,,
VEGMIE01_charged,,Co,Co,102,72,,Co,2.0,Cl,,,,,,,,,,,,,12051,1.0,,,,,,,,,,,,,,,,,,,,,
MUNDEG_clean,,Cu,Cu,105,12,76,Cu,1.0,I,,,,,,,,,,,,,6228,0.734,31275.0,0.266,,,,,,,944.0,,,,,,,,,,,,
ADASUV_clean,,Co,Co,105,23,,Co,2.0,NO3,,,,,,,,,,,,,6228,0.714,13387.0,0.286,,,,,,,,,,,,,,,,,,,
CUTBIE_clean,,La,La,105,24,67,La,3.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,,,,,,,,,,,,
EXOFIH_clean,,In, ,105,36,30,In,3.0,Cl,,,,,,,,,,,,,31374,0.485,702.0,0.515,,,,,,,944.0,4837.0,,,,,,,,,,,
YIJYUN_clean,,Zn,Zn,105,60,36.3,Zn,2.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,516892.0,,,,,,,,,,,,
ALIXOJ_clean,,Ni,Ni,105,72,69,Ni,2.0,O,,,,,,,,,,,,,6228,0.19,962.0,0.81,,,,,,,,,,,,,,,,,,,
LAQZOV_clean,,Ce,Ce,105,72,,Ce,3.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,,,,,,,,,,,,
LAZHUR_clean,,Co,Co,105,72,64,Co,2.0,NO3,,,,,,,,,,,,,6228,0.105,962.0,0.895,,,,,,,,,,,,,,,,,,,
NUCPEI_clean,,Zn,Zn,105,72,,Zn,2.0,NO3,,,,,,,,,,,,,6228,0.412,962.0,0.588,,,,,,,,,,,,,,,,,,,
NUCPIM_clean,DISORDER,Zn,Zn,105,72,,Zn,2.0,NO3,,,,,,,,,,,,,31374,0.226,962.0,0.774,,,,,,,,,,,,,,,,,,,
UWALEL_clean,,Cu,Cu,105,72,,Cu,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,944.0,,,,,,,,,,,,
XORHET_clean,,Co,Co,105,72,69,Co,2.0,SO4,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
CORZIU_clean,,In,In,105,96,61,In,1.0,NO3,,,,,,,,,,,,,6228,0.742,12051.0,0.258,,,,,,,284.0,,,,,,,,,,,,
VEHRIL_clean,,Sm,Sm,107,48,30,Sm,3.0,O,,,,,,,,,,,,,962,1.0,,,,,,,,,944.0,,,,,,,,,,,,
GIQZIQ_clean,,Mg,Mg,110,24,73.5,Mg,2.0,NO3,,,,,,,,,,,,,6228,0.345,887.0,0.655,,,,,,,,,,,,,,,,,,,
LEVNOQ_clean,,Mg,Mg,110,24,64.2,Mg,2.0,NO3,,,,,,,,,,,,,6228,1.0,,,,,,,,,,,,,,,,,,,,,
GOBTAT_clean,DISORDER,Co, ,110,36,,Co,2.0,NO3,,,,,,,,,,,,,6228,0.757,7237.0,0.243,,,,,,,,,,,,,,,,,,,
KUHNIM_clean,,Zn,Zn,110,48,57,Zn,2.0,NO3,,,,,,,,,,,,,962,1.0,,,,,,,,,14923.0,,,,,,,,,,,,
UYOFIY_clean,,Tb,Tb,110,48,62,Tb,3.0,NO3,,,,,,,,,,,,,702,0.237,962.0,0.763,,,,,,,8471.0,,,,,,,,,,,,
